Genus,Species,Synonyms,Extant,Plesiadapiform,Plesiadapiform Reference,First Appearance (mya),Last Appearance (mya),Period Reference,Body Size (g),Body Size Reference,m1 Length,m1 Width,M1 Length,M1 Width,m2 Length,m2 Width,M2 Length,M2 Width,m3 Length,m3 Width,M3 Length,M3 Width,p4 Length,p4 Width,P4 Length,P4 Width,Measurement References,New World
Absarokius,abbotti,absarokius noctivagus,no,,,50.3,48.6,Fossilworks,402.112,estimate,2.39,2.16,2.23,3.39,2.33,2.16,2.07,3.83,,,,,2.32,2.22,2.37,3.36,Bown and Rose 1987,
Absarokius,gazini,,no,,,55.8,50.3,Fossilworks,213.272,estimate,1.85,2.29,,,,,,,,,,,,,,,Bown and Rose 1987,
Absarokius,metoecus,,no,,,50.3,48.6,Fossilworks,355.812,estimate,2.12,2.33,3.33,2.22,2.14,2.32,3.77,2.06,,,,,2.12,2.23,3.28,2.33,Bown and Rose 1987,
Absarokius,witteri,,no,,,50.3,46.2,Fossilworks,223.402,estimate,2.64,1.65,,,,,,,,,,,,,,,Fossilworks,
Acidomomys,hebeticus,,no,,,56.8,55.8,Fossilworks,247.251,estimate,2.035,2.275,,,,,,,,,,,,,,,Bloch et al. 2002,
Acrecebus,fraileyi,,no,,,11.608,7.246,Fossilworks,,,,,,,,,,,,,,,,,,,,yes
Acrossia,lovei,,no,,,,,,275,Fleagle 1999,,,,,,,,,,,,,,,,,,
Adapis,betillei,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Adapis,laharpei,,no,,,,,,1700,Fleagle 1999,,,,,,,,,,,,,,,,,,
Adapis,parisiensis,,no,,,37.2,33.9,Fossilworks,1300,Fleagle 1999,,,,,,,,,,,,,,,,,,
Adapis,sudrei,,no,,,,,,1400,Fleagle 1999,,,,,,,,,,,,,,,,,,
Adapoides,troglodytes,,no,,,56,33.9,Fleagle 1999,500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Aegyptopithecus,zeuxis,,no,,,33.9,28.4,Fossilworks,6700,Fleagle 1999,,,,,,,,,,,,,,,,,,
Afradapis,longicristatus,,no,,,37.2,33.9,Fossilworks,,,,,,,,,,,,,,,,,,,,
Aframonius,diedies,,no,,,33.9,28.4,Fossilworks,1600,Fleagle 1999,,,,,,,,,,,,,,,,,,
Afrasia,djijidae,,no,,,40.4,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Afropithecus,leakeyi,,no,,,,,,,,,,,,,,,,,,,,,,,,,
Afropithecus,turkanensis,,no,,,15.97,11.608,Fleagle 1999,50000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Afrotarsius,chatrathi,,no,,,33.9,28.4,Fossilworks,100,Fleagle 1999,,,,,,,,,,,,,,,,,,
Afrotarsius,libycus,,no,,,37.2,28.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Ageitodendron,matthewi,,no,,,50.3,46.2,Fossilworks,840,Fleagle 1999,,,,,,,,,,,,,,,,,,
Agerinia,roselli,,no,,,48.6,40.4,Fossilworks,,,,,,,,,,,,,,,,,,,,
Algeripithecus,minutus,,no,,,50,46,Godinot and Mahboubi,225,Fleagle 1999,,,,,,,,,,,,,,,,,,
Alouatta,mauroi,,no,,,,,,13042.491,estimate,,,,,,,7,9.5,,,,,,,5.5,8.1,Tejedor et al. 2008,
Altanius,orlovi,,no,,,55.8,48.6,Fossilworks,10,Fleagle 1999,,,,,,,,,,,,,,,,,,
Altiatlasius,koulchii,,no,,,58.7,55.8,Fossilworks,75,Fleagle 1999,,,,,,,,,,,,,,,,,,
Alveojunctus,minutus,,no,yes,Fleagle 1999,50.3,46.2,Fossilworks,70.915,estimate,1.25,1.75,,,,,,,,,,,,,,,Bown 1982,
Anapithecus,hernyaki,,no,,,11.1,9.7,Fossilworks,13500,Fleagle 1999,,,,,,,,,,,,,,,,,,
Anaptomorphus,aemulus,,no,,,50.3,46.2,Fossilworks,241.085,estimate,1.9,2.4,,,,,,,,,,,,,,,Gazin 1958,
Anaptomorphus,westi,,no,,,50.3,46.2,Fossilworks,469.824,estimate,2.11,2.79,3.43,2.57,2.5,2.8,3.8,2.65,,,,,2.05,2.33,3.1,2.5,Gunnell 1995 Muldoon and Gunnell 2002,
Anaptomorphus,wortmani,,no,,,,,,160,Fleagle 1999,,,,,,,,,,,,,,,,,,
Anasazia,williamsoni,,no,,,63.3,61.7,Fossilworks,,,,,,,,,,,,,,,,,,,,
Anchomomys,(fendantia),,no,,,40.4,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Anchomomys,(huerzeleris),,no,,,40.4,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Anchomomys,crocheti,,no,,,,,,160,Fleagle 1999,,,,,,,,,,,,,,,,,,
Anchomomys,frontanyensis,,no,,,48.6,37.2,Fossilworks,,,,,,,,,,,,,,,,,,,,
Anchomomys,gaillardi,,no,,,40.4,37.2,Fossilworks,110,Fleagle 1999,,,,,,,,,,,,,,,,,,
Anchomomys,latidens,,no,,,,,,,,,,,,,,,,,,,,,,,,,
